TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0209,38,5,1220,130543,0,2155,1,X,01,2015
1,0209,39,5,1220,3779824,0,92452,1,X,01,2015
1,0209,39,5,1220,137214,0,5162,2,X,01,2015
1,0209,40,5,1220,12258,0,154,1,X,01,2015
1,0209,40,5,1220,50078,0,1097,2,X,01,2015
1,0209,41,5,1220,210522,0,12908,1,X,01,2015
1,0209,42,5,1220,20460,0,111,1,X,01,2015
1,0209,42,5,1220,38250,0,390,2,X,01,2015
1,0209,44,5,1220,4400361,0,273640,1,X,01,2015
1,0209,44,5,1220,223218,0,13772,2,X,01,2015
1,0209,47,5,1220,667345,0,47704,1,X,01,2015
1,0209,47,5,1220,69469,0,4219,2,X,01,2015
1,0209,48,5,1220,3369461,0,138690,1,X,01,2015
1,0209,48,5,1220,30432,0,637,2,X,01,2015
1,0209,49,5,1220,51917,0,1690,1,X,01,2015
1,0209,49,5,1220,56407,0,559,2,X,01,2015
1,0209,51,5,1220,47781,0,867,2,X,01,2015
1,0209,54,5,1220,34918,0,771,1,X,01,2015
1,0209,54,5,1220,35367,0,656,2,X,01,2015
1,0209,55,5,1220,72467,0,1667,1,X,01,2015
1,0209,55,5,1220,92220,0,2061,2,X,01,2015
1,0209,56,5,1220,315457,0,4437,1,X,01,2015
1,0209,56,5,1220,13535,0,191,2,X,01,2015
1,0209,58,5,1220,28277,0,424,1,X,01,2015
1,0209,59,5,1220,29994,0,413,1,X,01,2015
1,0209,60,5,1220,120046,0,1717,1,X,01,2015
1,0209,61,5,1220,9325,0,294,1,X,01,2015
1,0209,61,5,1220,5670,0,114,2,X,01,2015
